game,rate,genre,review1,tag1,tag2,tag3,tag4,tag5
Ragnarok: The Lost Memories,1379750,6,RPG Games,Free to Play,RPG,Nostalgia,Adventure,JRPG
Hero Siege,269210,7,Indie Games,RPG,Action Roguelike,Hack and Slash,,
World of Tanks Blitz,444200,9,Free to Play Games,Tanks,Free to Play,Action,Multiplayer,
Have a Nice Death,1740720,9,Action Games,Singleplayer,Action Roguelike,2D Platformer,2D,
Tropico 6,492720,9,Strategy Games,Strategy,City Builder,Simulation,Economy,
Granblue Fantasy: Versus,1090630,9,Action Games,Action,Anime,2D Fighter,Fighting,PvP
Poppy Playtime,1721470,7,Adventure Games,Horror,Singleplayer,Puzzle,First-Person,
Northgard,466560,9,Indie Games,City Builder,RTS,Strategy,Colony Sim,
Yakuza Kiwami,834530,9,Action Games,Action,Adventure,Story Rich,RPG,
Totally Accurate Battle Simulator,508440,10,Simulation Games,Sandbox,Funny,Simulation,Physics,
Marvel's Guardians of the Galaxy,1088850,9,Action Games,Story Rich,Singleplayer,Action,Action-Adventure,
Disco Elysium - The Final Cut,632470,9,RPG Games,RPG,Story Rich,Choices Matter,Detective,
Cult of the Lamb,632470,none,Adventure Games,Action Roguelike,Dungeon Crawler,Cute,,Funny
XCOM® 2,268500,9,Strategy Games,Strategy,Turn-Based,Turn-Based Strategy,,
DEAD OR ALIVE 6,838380,7,Action Games,Fighting,Sexual Content,Action,Nudity,
Strange Horticulture,1574580,10,Simulation Games,Mystery,Exploration,Puzzle,Investigation,
We Were Here Together,865360,9,Adventure Games,Story Rich,Puzzle,Escape Room,,Online Co-Op
Minecraft Dungeons,1672970,9,Action Games,Dungeon Crawler,Hack and Slash,Adventure,,
Albion Online,761890,7,Massively Multiplayer Games,Free to Play,MMORPG,Open World,,RPG
Garry's Mod,4000,10,Indie Games,Sandbox,Multiplayer,Funny,Moddable,
A Total War Saga: TROY,1099410,7,Strategy Games,Strategy,Simulation,Action,Historical,RTS
Potion Craft: Alchemist Simulator,1210320,9,Indie Games,Early Access,Singleplayer,Crafting,Simulation,
Goose Goose Duck,1568590,9,Free to Play Games,PvP,Social Deduction,Character Customization,,
Puyo Puyo™ Tetris® 2,1259790,9,Action Games,Action,Casual,Arcade,Puzzle,Cute
Farm Together,673950,9,Simulation Games,Agriculture,Multiplayer,Simulation,Casual,
METAL GEAR SOLID V: THE PHANTOM PAIN,287700,9,Action Games,Stealth,Open World,Action,Story Rich,
Bloons TD 6,960090,10,Strategy Games,Tower Defense,Strategy,Multiplayer,Singleplayer,
PowerWash Simulator,1290000,10,Simulation Games,Simulation,Indie,Relaxing,Singleplayer,
Hunt: Showdown,594650,9,Action Games,Open World,Atmospheric,Tactical,Perma Death,
Settlement Survival,1509510,9,Simulation Games,City Builder,Building,Management,Colony Sim,
Getting Over It with Bennett Foddy,240720,9,Action Games,Psychological Horror,Difficult,Singleplayer,,
SENRAN KAGURA Peach Beach Splash,696170,7,Action Games,Sexual Content,Nudity,Anime,Mature,
Hell Let Loose,686810,9,Action Games,Action,Shooter,FPS,World War II,Multiplayer
Uncharted Waters IV HD Version,1424800,6,Simulation Games,Simulation,RPG,Strategy,Trading,Action
Untitled Goose Game,837470,10,Action Games,Funny,Indie,Villain Protagonist,Comedy,
The Forgotten City,874260,10,Adventure Games,Adventure,Time Travel,Exploration,Mystery,
Sniper Ghost Warrior Contracts 2,1338770,9,Action Games,FPS,Sniper,Shooter,Stealth,
Battlefield V,1238810,7,Action Games,FPS,World War II,Shooter,Multiplayer,
Persona 4 Golden,1113000,10,RPG Games,JRPG,Great Soundtrack,Story Rich,Anime,
AI＊Shoujo/AI＊少女,1250650,7,Simulation Games,Sexual Content,Nudity,Mature,Simulation,
DYNASTY WARRIORS 9 Empires,1341200,6,Action Games,Action,Strategy,Simulation,,Singleplayer
Planet Coaster,493340,9,Simulation Games,Simulation,Building,Management,,Sandbox
Team Fortress 2,440,9,Free to Play Games,Free to Play,Hero Shooter,Multiplayer,FPS,
Captain of Industry,1594320,9,Simulation Games,Early Access,Simulation,Automation,Strategy,
Rhythm Doctor,774181,10,Indie Games,Music,Rhythm,Indie,Pixel Graphics,
Rune Factory 5,774181,none,RPG Games,RPG,Adventure,Simulation,Farming Sim,
Project Hospital,868360,9,Simulation Games,Simulation,Management,Building,Strategy,
Dota 2,570,9,Free to Play Games,Free to Play,MOBA,Multiplayer,Strategy,
BioShock Infinite,8870,10,Action Games,FPS,Story Rich,Action,Singleplayer,
X4: Foundations,392160,7,Simulation Games,Space,Simulation,Sandbox,Open World,
Medieval Dynasty,1129580,9,RPG Games,Survival,Building,Open World,Medieval,
Middle-earth™: Shadow of War™,356190,9,Action Games,Open World,Action,RPG,Fantasy,
Atelier Ryza 2: Lost Legends & the Secret Fairy,1257290,9,RPG Games,JRPG,Female Protagonist,RPG,Anime,
Door Kickers 2: Task Force North,1239080,10,Strategy Games,Strategy,Tactical,Simulation,Action,Indie
Heroes Of The Dark,1851330,6,Free to Play Games,RPG,Strategy,4X,City Builder,MMORPG
Monster Hunter Stories 2: Wings of Ruin,1277400,9,RPG Games,RPG,Adventure,JRPG,Exploration,3D
TUNIC,553420,9,Action Games,Exploration,Puzzle,Souls-like,Metroidvania,
BPM: BULLETS PER MINUTE,1286350,9,Action Games,Action,FPS,Rhythm,Roguelike,Indie
FOCUS on YOU,1032670,9,Adventure Games,VR,Mature,Adventure,Dating Sim,
Street Fighter V,310950,6,Action Games,Fighting,Action,2D Fighter,Multiplayer,
Forager,751780,9,Simulation Games,Open World Survival Craft,Survival,Pixel Graphics,,
JoJo's Bizarre Adventure: All-Star Battle R,751780,none,Action Games,Action,Anime,2D Fighter,PvP,2D
Slime Rancher,433340,10,Action Games,Cute,Exploration,Adventure,Singleplayer,
SnowRunner,1465360,9,Simulation Games,Simulation,Adventure,Automobile Sim,,Sandbox
Operation: Tango,1335790,9,Adventure Games,Online Co-Op,Co-op Campaign,Puzzle,Hacking,
Kenshi,233860,9,Action Games,Open World,Sandbox,RPG,Survival,Strategy
War Robots,767560,6,Action Games,Free to Play,Action,Robots,Multiplayer,
Insurgency: Sandstorm,581320,9,Action Games,FPS,Realistic,Shooter,Military,Multiplayer
The Riftbreaker,780310,9,Action Games,Base Building,Strategy,Tower Defense,Survival,
Green Hell,815370,9,Indie Games,Survival,Open World Survival Craft,Open World,,
BeamNG.drive,284160,10,Simulation Games,Simulation,Driving,Physics,Destruction,
Democracy 4,1410710,9,Strategy Games,Strategy,Political Sim,Politics,Simulation,
Killing Floor 2,232090,9,Action Games,Zombies,Co-op,Gore,FPS,Multiplayer
Pathfinder: Wrath of the Righteous,1184370,9,RPG Games,Tactical RPG,Exploration,RPG,CRPG,Violent
SMASH LEGENDS,1352080,7,Free to Play Games,Multiplayer,Free to Play,PvP,MOBA,Fighting
Outer Wilds,753640,10,Adventure Games,Exploration,Space,Mystery,Adventure,
DEVOUR,1274570,9,Indie Games,Horror,Online Co-Op,Multiplayer,Survival Horror,
